Speaker ID,Name,Email,Phone,Dialect,Origin,Current Location,Age Range,Gender,Consent Signed,Session 1 Complete,Session 2 Complete,Session 3 Complete,Session 4 Complete,Session 5 Complete,Total Recordings,Total Minutes,Quality Rating,Transcription Complete,Notes
speaker_001,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_002,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_003,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_004,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_005,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_006,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_007,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_008,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_009,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_010,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_011,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_012,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_013,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_014,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_015,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_016,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_017,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_018,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_019,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_020,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_021,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_022,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_023,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_024,,,,,,,,,No,No,No,No,No,No,0,0,,No,
speaker_025,,,,,,,,,No,No,No,No,No,No,0,0,,No,
